case,inner_in,outer_in,enforce_containment,containment_tol_mm,tolerant_containment_violations_vox,contained_outer_saved,inner_sdf,outer_sdf,band_mm,pass,fail_reasons,inner_inside_mean_mm,inner_inside_p95_mm,inner_outside_mean_mm,inner_outside_p05_mm,inner_band_mm,inner_band_mean_abs_mm,inner_band_p95_abs_mm,inner_eikonal_band_mean_abs_err,inner_eikonal_band_p95_abs_err,outer_inside_mean_mm,outer_inside_p95_mm,outer_outside_mean_mm,outer_outside_p05_mm,outer_band_mm,outer_band_mean_abs_mm,outer_band_p95_abs_mm,outer_eikonal_band_mean_abs_err,outer_eikonal_band_p95_abs_err
10234_RCA,INNER_trimmed.nrrd,OUTER_trimmed.nrrd,True,0.5,0,OUTER_contained.nrrd,INNER_sdf.nrrd,OUTER_sdf.nrrd,2.0,True,,-0.033143386244773865,-0.0,33.76979446411133,7.3525728464126585,2.0,1.0843435525894165,1.9531173706054688,0.1209803968667984,0.4999997615814209,-0.10949475318193436,-0.0,32.9980583190918,6.840846014022827,2.0,1.008243441581726,1.9256861209869385,0.1285988837480545,0.4999997615814209
10238_RCA,INNER_trimmed.nrrd,OUTER_trimmed.nrrd,True,0.5,0,OUTER_contained.nrrd,INNER_sdf.nrrd,OUTER_sdf.nrrd,2.0,True,,-0.14263510704040527,0.0,17.083297729492188,2.727247714996338,2.0,0.966349720954895,1.9038320779800415,0.13199017941951752,0.4999998211860657,-0.23263901472091675,0.0,16.823406219482422,2.6406240463256836,2.0,0.9267725348472595,1.8842028379440308,0.13601963222026825,0.5
10250_LAD,INNER_trimmed.nrrd,OUTER_trimmed.nrrd,True,0.5,0,OUTER_contained.nrrd,INNER_sdf.nrrd,OUTER_sdf.nrrd,2.0,True,,-0.048557329922914505,0.0,28.397615432739258,5.094572043418884,2.0,1.0314955711364746,1.9193334579467773,0.13748674094676971,0.5,-0.1192030981183052,-0.0,27.91004180908203,4.721576786041263,2.0,0.9559679627418518,1.9128857851028442,0.14755402505397797,0.5000007152557373
10732_LCX,INNER_trimmed.nrrd,OUTER_trimmed.nrrd,True,0.5,0,OUTER_contained.nrrd,INNER_sdf.nrrd,OUTER_sdf.nrrd,2.0,True,,-0.10418340563774109,-0.0,14.272189140319824,2.3699309825897217,2.0,0.9717521071434021,1.8895673751831055,0.12605388462543488,0.5,-0.2268766313791275,-0.0,13.958297729492188,2.140855312347412,2.0,0.9155306816101074,1.8846858739852905,0.12888529896736145,0.5
10735_RCA,INNER_trimmed.nrrd,OUTER_trimmed.nrrd,True,0.5,0,OUTER_contained.nrrd,INNER_sdf.nrrd,OUTER_sdf.nrrd,2.0,True,,-0.08028323948383331,-0.0,13.746997833251953,2.4104855060577393,2.0,1.0153250694274902,1.9177606105804443,0.10705703496932983,0.5,-0.1401674598455429,0.0,13.632522583007812,2.302468776702881,2.0,0.9652861952781677,1.9104284048080444,0.10873398184776306,0.5
10738_RCA,INNER_trimmed.nrrd,OUTER_trimmed.nrrd,True,0.5,0,OUTER_contained.nrrd,INNER_sdf.nrrd,OUTER_sdf.nrrd,2.0,True,,-0.23720420897006989,-0.0,16.802082061767578,2.840876340866089,2.0,0.9413365125656128,1.878143310546875,0.1209852397441864,0.5,-0.33120840787887573,0.0,16.41302490234375,2.6244680881500244,2.0,0.9091950058937073,1.878143310546875,0.12459447234869003,0.5
1079_LAD,INNER_trimmed.nrrd,OUTER_trimmed.nrrd,True,0.5,0,OUTER_contained.nrrd,INNER_sdf.nrrd,OUTER_sdf.nrrd,2.0,True,,-0.07250469923019409,0.0,32.01569366455078,6.536204600334169,2.0,1.0659347772598267,1.9314857721328735,0.09537301957607269,0.4312347471714021,-0.15345704555511475,0.0,31.64739227294922,6.263280868530273,2.0,0.9844027757644653,1.8968614339828491,0.11150405555963516,0.5
1092_LAD,INNER_trimmed.nrrd,OUTER_trimmed.nrrd,True,0.5,0,OUTER_contained.nrrd,INNER_sdf.nrrd,OUTER_sdf.nrrd,2.0,True,,-0.060286156833171844,-0.0,24.003629684448242,4.61130952835083,2.0,1.0347075462341309,1.927607774734497,0.13768748939037323,0.5000004172325134,-0.15570519864559174,0.0,23.8380126953125,4.389045691490173,2.0,0.9773522615432739,1.8975913524627686,0.14623892307281494,0.5000021457672119
1113_LAD,INNER_trimmed.nrrd,OUTER_trimmed.nrrd,True,0.5,0,OUTER_contained.nrrd,INNER_sdf.nrrd,OUTER_sdf.nrrd,2.0,True,,-0.05886891856789589,-0.0,27.7488956451416,4.9452385902404785,2.0,1.0902595520019531,1.9438661336898804,0.10138460993766785,0.48625683784484863,-0.17370180785655975,0.0,27.197057723999023,4.454166889190674,2.0,0.9874221682548523,1.9216209650039673,0.1181291714310646,0.5
1131_LAD,INNER_trimmed.nrrd,OUTER_trimmed.nrrd,True,0.5,0,OUTER_contained.nrrd,INNER_sdf.nrrd,OUTER_sdf.nrrd,2.0,True,,-0.12315881252288818,-0.0,20.536436080932617,3.9582467079162598,2.0,0.9953954815864563,1.9584267139434814,0.14017686247825623,0.5,-0.2291240692138672,-0.0,20.330244064331055,3.794610023498535,2.0,0.9587578177452087,1.9296875,0.13553519546985626,0.5
11616_LCX,INNER_trimmed.nrrd,OUTER_trimmed.nrrd,True,0.5,0,OUTER_contained.nrrd,INNER_sdf.nrrd,OUTER_sdf.nrrd,2.0,True,,-0.0860285684466362,-0.0,11.77221965789795,2.182249069213867,2.0,1.0473524332046509,1.9072502851486206,0.10264768451452255,0.4236520886421189,-0.21661768853664398,0.0,11.379047393798828,1.929324746131897,2.0,0.9527033567428589,1.898694634437561,0.11679819226264954,0.4580826163291931
11621_LAD,INNER_trimmed.nrrd,OUTER_trimmed.nrrd,True,0.5,0,OUTER_contained.nrrd,INNER_sdf.nrrd,OUTER_sdf.nrrd,2.0,True,,-0.07933194935321808,-0.0,22.9468994140625,4.3495073318481445,2.0,0.9633802771568298,1.9034944772720337,0.13927553594112396,0.5,-0.2908048927783966,0.0,22.383514404296875,4.020971775054932,2.0,0.9240022301673889,1.8957833051681519,0.12551450729370117,0.5
11621_LCX,INNER_trimmed.nrrd,OUTER_trimmed.nrrd,True,0.5,0,OUTER_contained.nrrd,INNER_sdf.nrrd,OUTER_sdf.nrrd,2.0,True,,-0.1107267290353775,-0.0,9.35354232788086,1.691257357597351,2.0,0.9434143304824829,1.9034944772720337,0.1432051807641983,0.5,-0.2325044423341751,0.0,9.074511528015137,1.5405489206314087,2.0,0.8976423740386963,1.9034944772720337,0.13898059725761414,0.5
11631_LAD,INNER_trimmed.nrrd,OUTER_trimmed.nrrd,True,0.5,0,OUTER_contained.nrrd,INNER_sdf.nrrd,OUTER_sdf.nrrd,2.0,True,,-0.067227303981781,0.0,25.405750274658203,5.493182182312012,2.0,1.0366287231445312,1.9548274278640747,0.11339639127254486,0.5,-0.16861705482006073,-0.0,25.032957077026367,5.12786340713501,2.0,0.9745251536369324,1.927978754043579,0.11657847464084625,0.5
1186_LCX,INNER_trimmed.nrrd,OUTER_trimmed.nrrd,True,0.5,0,OUTER_contained.nrrd,INNER_sdf.nrrd,OUTER_sdf.nrrd,2.0,True,,-0.033118244260549545,0.0,14.897334098815918,3.3384146690368652,2.0,1.0703142881393433,1.9531230926513672,0.12654060125350952,0.4999997615814209,-0.10956723242998123,0.0,14.469755172729492,3.0881600379943848,2.0,0.9939438700675964,1.9256861209869385,0.13403910398483276,0.4999997615814209
